"idtram","nombre","descripcion","requisitos","estatus","tipo","prioridad","nivel","costo","visitas","frecuencia","tiemporesp","vigencia","conteo_etapas","conteo_requisitos"
1002,"Inscripción de compra-venta a plazos con reserva de dominio. (Registro Público de la Propiedad y del Comercio)","Es la inscripción de la compra-venta a plazos de bienes inmuebles, con reserva de dominio.","1.- Testimonio y dos copias \n\n2.- El plano o croquis de localización general e individual del inmueble correspondiente \n\n3.- El certificado de gravámenes previamente obtenido y vigente al momento de la presentación del documento \n\n4.- El certificado de valor fiscal vigente a favor del adquirente \n\n5.- Avalúo catastral, expedido por la Presidencia Municipal \n\n6.- Avalúo bancario \n\n7.- Identificación oficial \n\n8.- Formato y comprobante de pago \n\n9.- CURP \n\n10.- RFC ","Publicado","Trámite","Alta","Informativo",11031,442,"20","15 días hábiles.","Sin Vigencia",1,10
1081,"Reinscripción ITESHU.","Proceso que realiza el estudiante para incorporarse al semestre inmediato de Licenciatura o Posgrado.","1. Encuesta de auditoria de servicio requisitada en línea.\n2. Comprobante de pago de derechos.","Publicado","Trámite","Alta","Transaccional",11,652,"108","19 minutos","Semestral",5,2
1121,"Equivalencia de Estudios de Educación Media Superior","Es un trámite que permite reconocer como equivalentes los estudios de bachillerato realizados dentro del Sistema Educativo Nacional.","1. Solicitud de Equivalencia debidamente formulada,\n2. Certificado parcial de estudios de educación media superior, en original y una copia. (en caso de que el certificado se haya emitido en otra entidad federativa, deberá estar autenticado por la Institución que emite el certificado y legalizado),\n3. Certificado de estudios de secundaria, en original y una copia,\n4. Acta de Nacimiento en original y una copia,\n5. Pago de derechos por el dictamen de equivalencia de estudios de educación media superior (ficha de depósito o Boucher bancario), \n6. CURP, \n7. Mapa Curricular de la escuela de procedencia, \n8. Mapa Curricular de la escuela a la que ingresará.\n\nNOTA: Certificados con QR requieren la carta de autenticación de la escuela emisora.","Publicado","Trámite","Alta","Transaccional",791,2438,"180","15 días hábiles","Permanente",6,8
1125,"Revalidación de Estudios de Educación Media Superior","Es un trámite que hace valida en México la preparatoria que estudiaste en otro país, siempre y cuando tengan validez oficial en el país de origen.","1. Solicitud debidamente formulada,\n2. Diploma de estudios si terminó sus estudios en el extranjero, en original y una copia (con una traducción oficial), \n3. Transcript Oficial (sellado y firmado por la Institución Educativa en el extranjero) de la Institución de los estudios realizados en el extranjero de nivel medio superior (con traducción oficial), en original y una copia, \n4. Certificado de estudios de secundaria o revalidación de éste nivel educativo, en original y una copia, \n5. Acta de nacimiento o documento equivalente, en original y una copia, \n6. Pago de derechos por el dictamen de revalidación de estudios de educación media superior (ficha de depósito o Boucher bancario), \n7. CURP.\n","Publicado","Trámite","Alta","Transaccional",791,749,"10","15 días hábiles","Permanente",6,6
1135,"Registro Profesional Estatal","Documento que comprueba que una persona terminó por completo sus estudios y tiene los conocimientos para ejercer su profesión en la Entidad.","Presentar la documentación en original y digitalizarla en un solo archivo en formato PDF a color.\n\n1.	Llenar la solicitud respectiva, la cual deberá contener una fotografía reciente, tamaño infantil en blanco y negro en papel mate y firma autógrafa,\n2.	CURP certificada,\n3.	Acta de nacimiento o carta de naturalización,\n4.	Certificado de secundaria, cuando se trate de estudios de tipo medio superior o nivel técnico; certificado de bachillerato para nivel licenciatura; certificado de licenciatura cuando se trate de especialidad o maestría; y certificado de maestría cuando se trate de doctorado,\n5.	Constancia de cumplimiento de servicio social, expedida por la institución educativa que emite el título (no aplica para especialidades, maestrías y doctorados),\n6.	Acta de examen profesional o constancia de no ser exigible,\n7.	Título profesional (cuando se trate de escuelas particulares o autónomas deberá presentarse debidamente legalizado, excepto cuando se trate de títulos electrónicos o presente cédula profesional),\n8.	Cedula Profesional en su caso,\n9.	Cuando sea aplicable, presentar constancia de revalidación de estudios otorgada por la Secretaría de Educación Pública,\n10.	Comprobante de Pago de derechos mediante forma fiscal F7, y\n11.	Forma migratoria de la Autoridad Competente, donde señale las actividades que podrá realizar en su ejercicio profesional, para el caso de extranjeros.\n","Publicado","Trámite","Alta","Informativo",453,10042,"668","2 horas","Permanente",5,12
1142,"Registro como unidad receptora de servicio social","Clave de registro que se les otorga a las Instituciones prestatarias con el objetivo que tengan un plan de trabajo concreto para que los prestadores de servicio social puedan desempeñar y apoyen en el desarrollo profesional del estudiante, de la propia Institución y como consecuencia a la sociedad en general.\n","1. Solicitar información o formatos físicamente, vía telefónica o descargarlos de la página, \n2. Realizar el llenado del formato con las características pertinentes y enviarlo al correo: servicio.social@seph.gob.mx o denis.guzman@seph.gob.mx,\n3. Modificación de la información cuantas veces sean requeridas,\n4. Entregar en el Departamento de Servicio Social de la Dirección de Profesiones del Estado por duplicado firmado y sellado el formato.\n\nInstituciones Privadas:\nTodos los requisitos deberán ser en copia excepto oficio\n1. Acta Constitutiva (Personas morales), \n2. Alta de Hacienda,\n3. Comprobante de domicilio (1 mes antes del registro),\n4.Hoja Membretada (original),\n5. Credencial de elector,\n6. Oficio dirigido a la M.E. Rosa Luz Martínez García Encargada del Departamento de Servicio Social, para informar quien va a ser el o los responsables de las liberaciones de carta de terminación y así mismo dar a la conocer la firma autorizada.\n\nInstituciones Públicas:\nEl oficio debe ser en original,\n1.- Oficio dirigido a M.E. Rosa Luz Martínez García Encargada del Departamento de Servicio Social, para informar quien va a ser el o los responsables de las liberaciones de carta de terminación y así mismo dar a conocer la firma autorizada.\n","Publicado","Trámite","Alta","Transaccional",0,697,"16","48 horas.","2 años.",8,11
1145,"Ampliaciones de autorizaciones para profesionistas","Documento en el cual se extiende el periodo que permite al profesionista  seguir ejerciendo en el ámbito laboral.","Requisitos Generales: \n1. Llenar la solicitud respectiva, \n2. Credencial vencida, \n3. Una fotografía reciente tamaño infantil blanco y negro con retoque fondo blanco en papel mate, \n4. Comprobante del pago de Derechos\n","Publicado","Trámite","Alta","Informativo",453,634,"32","2 horas","3 meses",5,4
1184,"Admisión UPT","Proceso que deben realizar las/os aspirantes para ingresar a la Universidad Politécnica de Tulancingo.","1.- Realizar el pago del examen de ingreso.\n2.-Constancia de estudios o certificado de bachillerato con promedio mínimo de 7.0, en electrónico en formato pdf.\n3.- Pegar una foto tamaño infantil al pase de examen de admisión.\n","Publicado","Trámite","Alta","Transaccional",6,915,"","15 minutos","Proceso de admisión correspondiente",3,2
1205,"Inscripción UPT","Trámite que realizan los alumnos aceptados para cursar los estudios de algún programa educativo de la Universidad Politécnica de Tulancingo.","Realizar el pago correspondiente, llenar e imprimir el formato de inscripción y estudio socioeconómico en la página de la UPT y enviar la documentación solicitada al correo de documentos.escolares@upt.edu.mx:\nNota: los archivos son en formato pdf.\n1.- Para Licenciatura (En el caso de ingresar a una licenciatura o ingeniería): \n1.1 Certificado de Bachillerato con promedio mínimo de 7.00 (Solo si se cuenta con dicho documento) .\nPara Maestría (En el caso de ingresar a una maestría): \n2.- Certificado de licenciatura.\n2.1 Título profesional de Licenciatura.\n2.2 Cédula profesional federal de Licenciatura.\n3.- Para Doctorado (En el caso de ingresar a un Doctorado):\n3.1 Certificado de Maestría.\n3.2 Título profesional de maestría.\n3.3 Cédula profesional federal de maestría.\nDocumentos Requeridos para todos los niveles educativos licenciatura, maestría y doctorado:\n4.- Acta de Nacimiento.\n5.- Comprobante de domicilio.                                    \n6.- CURP.\n7.- Formato de asignación o localización de número de seguridad social.\n","Publicado","Trámite","Alta","Transaccional",13,609,"","15 minutos","Un Cuatrimestre",2,11
1206,"Reinscripción UPT","Trámite que realizan los alumnos para cursar el ciclo inmediato posterior hasta concluir sus estudios previa aprobación del anterior en algún programa educativo de la Universidad Politécnica de Tulancingo.","1.- Comprobante de pago.\n2.- No tener ningún adeudo de colegiatura, documentos, material de laboratorio o de bibliografía.","Publicado","Trámite","Alta","Transaccional",9,430,"","10 minutos.","Cuatrimestral",2,1
1209,"Titulación UPT","Trámite mediante el cual se comprueba que una persona concluyó por completo el Plan de Estudios y cumplió con los requisitos necesarios para su obtención del Titulo Profesional de un Programa Educativo de la Universidad Politécnica de Tulancingo","Para Licenciatura: Haber realizado y concluido el servicio social, haber aprobado todas las asignaturas del mapa curricular de licenciatura.\nPara Maestría y Doctorado: Haber aprobado todas las asignaturas del mapa curricular de la maestría o del doctorado, presentar y aprobar el examen de grado.\nRequisitos:\n1.- Realizar los pagos correspondientes.\n2.- Llenar y entregar la constancia de no adeudos.\n3.- Entrega de documentos que solicita el Departamento de Servicios Escolares.\n4.- Para la cédula profesional federal: Contar con efirma, correo electrónico, CURP, tarjeta de débito o crédito e ingresar a la página de la Dirección General de Profesiones (Trámite personal). \nDocumentos Requeridos:\n5.- Acta de Nacimiento, original y copia.\n6.- Certificado de Bachillerato, original y copia (En el caso del trámite de titulación de licenciatura).\n7.- Certificado de Licenciatura, original y copia (En el caso del trámite de titulación de maestría) \n8.- Certificado de Maestría, original y copia (En el caso de del trámite de titulación de doctorado)\n9.- Hoja de no adeudo.\n10.- CURP. \n11.- 12 fotos tamaño infantil blanco y negro papel mate.","Publicado","Trámite","Alta","Transaccional",15,725,"","25 minutos","Permanente",4,8
1268,"Apostillas","Cotejo y certificación de firmas en documentos originales, con el objetivo de verificar la autenticidad de las mismas.\n\n","1.Presentar documento original\n2.Copia de credencial de elector\n3. Clave CURP","Publicado","Trámite","Alta","Informativo",350,9010,"117 mensuales","20 minutos ","No tiene vigencia",5,2
1269,"Legalización de Documentos","Cotejo y Certificación de firmas en documentos originales, con el objetivo de verificar la autenticidad de las mismas.\n*PARA LEGALIZACIÓN DE TÍTULO REVISAR INFORMACIÓN ADICIONAL","Presentar documento original y copia de credencial de elector, Clave CURP","Publicado","Trámite","Alta","Informativo",221,19900,"1,469 mensuales"," 20 minutos","INDEFINIDA",5,2
1270,"Opinión favorable para actividades relacionadas con armas, municiones, pólvoras y explosivos, artificios y substancias químicas relacionadas con explosivos.","Coadyuvar en materia de seguridad con la Secretaría de la Defensa Nacional en materia de seguridad relacionado con explosivos.\n\n","Personas Morales:\n1. Solicitud dirigida al C. Gobernador Constitucional del Estado. \n2. Original y copia para cotejo, del acta constitutiva de la empresa \n3.Original y copia de la escritura para cotejo, para acreditar propiedad del inmueble donde se encuentra ubicado el banco de piedra y/o el polvorín; en caso de ser rentado, presentar contrato de arrendamiento. \n4. Certificados de seguridad firmados únicamente por el Presidente Municipal. \n5.Croquis de ubicación del terreno en donde se encuentra el polvorín y/o banco de piedra. \n6. Fotografías del lugar de consumo y/o de los polvorines, por dentro y por fuera. \n7. Copia de credencial de elector del representante legal. \n8.- RFC\n9.- Escrituras del predio\nPersonas Físicas: \n1. Solicitud dirigida al C. Gobernador Constitucional del Estado \n2. Original y copia de la escritura para cotejo, para acreditar propiedad del inmueble donde se encuentra ubicado el banco de piedra y/o el polvorín; en caso de ser rentado, presentar contrato de arrendamiento. \n3. Certificados de seguridad firmados únicamente por el Presidente Municipal. \n4.Croquis de ubicación del terreno en donde se encuentra el polvorín y/o banco de piedra. \n5. Fotografías del lugar de consumo y/o de los polvorines, por dentro y por fuera. \n6. Copia de credencial de elector.\n7. RFC","Publicado","Trámite","Alta","Informativo",0,540,"1 mensual","Indefinido ","UN AÑO",8,7
1300,"Expedición de la Carta de Opinión de Pertinencia de Planes y Programas de Estudios de tipo Superior solicitada ante la COEPEES","Opinión de Pertinencia para proponer  programas académicos de una Institución de Educación Superior de nueva creación, o en su caso, proponer nueva oferta educativa para instituciones ya creadas.","1. Entrevista con el responsable del área de la COEPES-H, Lic. Arturo Espinosa Torrescano, en la Dirección General de Educación Superior, ubicada en Circuito Ex Hacienda de la Concepción, Lote No. 17, San Juan Tilcuautla, Municipio de San Agustín Tlaxiaca, Hgo., o al 771 71 7 25 10  ext. 4782;\n2. Realizar el pago de derechos F7;\n3. Copia del instrumento legal que acredite la personalidad jurídica de la institución solicitante. (Acta constitutiva o poder notarial) solo incluirlo en la carpeta impresa, no en los CD´S;\n4. Exposición de motivos o justificación de la propuesta del programa educativo;\n5. Estudio de factibilidad y de mercado realizado por la institución solicitante;\n6. Mapa curricular, plan y programas que se desean impartir;\n7. Entregar en carpeta impresa y en tres CD´s la evidencia de cumplimiento de todos los requisitos, por cada propuesta de programa educativo;\n8. Para programas educativos del área de la salud que se deseen ingresar, se deberá cumplir con lo establecido por el Comité Estatal Interinstitucional para la Formación y Capacitación de Recursos Humanos e Investigación para la Salud del Estado de Hidalgo (CEIFRHS).\n","Publicado","Trámite","Alta","Informativo",9051,473,"1","4 meses","Permanente",4,3
1301,"Expedición de Registro de Personal Docente de instituciones particulares de educación superior","Análisis de los antecedentes académicos y la experiencia profesional de los docentes, y de ser procedente expedirles la autorización para impartir cátedra en las instituciones particulares de Educación Superior.","1. Llenar formato\n\nCopia cotejada de:\n2. Acta de Nacimiento, \n3. CURP,\n4. Título profesional del último grado de estudios,\n5. Cédula Profesional del último grado de estudios,\n6. Constancia de experiencia docente,\n7. Constancias de estudios en pedagogía, en caso de contar con ella, y\n8. Pago de derechos.","Publicado","Trámite","Alta","Transaccional",113,3102,"50","20 días hábiles","Un año tipo A y Dos años tipo B",5,0
1318,"Constancia de Vehículo No Robado","Emitir constancia de vehículo no robado.\n\nPara el pago de este servicio debe llenar el Formato F7 en línea a través del siguiente enlace: https://docs.google.com/forms/d/e/1FAIpQLSeNxJsX2m6-HGtQuIgCcTg6YuNURTpcALM1a9Oar4beFXkqBA/viewform\n\nUna vez realizado el pago tendrá que agendar su cita para revisión vehicular en: Pachuca de Soto a los números telefónicos 771 710 8813 y 771 710 8796 ext.104 y en Tula de Allende al 77171-790-00 ext. 1556.\n\nDe igual manera, puede acudir a las instalaciones de la Unidad de Recuperación de Vehículos sede Pachuca de Soto o Tula de Allende para continuar con el trámite.\n\nEl horario de las revisiones vehiculares para expedición de constancias de vehículo no robado en Pachuca de Soto es de 09:00 a 14:30 horas de lunes a viernes y en Tula de Allende de 09:00 a 14:30 horas los días miércoles.\n\nLas revisiones vehiculares se realizan exclusivamente en las instalaciones de la Unidad de Recuperación de Vehículos (Pachuca de Soto o Tula de Allende) y no tienen costo.","VEHÍCULO NACIONAL\n\n1.- El Propietario deberá presentar el Vehículo Físicamente\n2.- Factura Original debidamente endosada a nombre del Propietario\n3.- Tarjeta de Circulación\n4.- Identificación Oficial (Credencial de Elector, Licencia de conducir, pasaporte\n5.- Vehículo Refacturado (con copia Factura Original\n6.- CURP \n7.- RFC en caso de ser persona moral\n9.- Comprobante de pago (voucher y Formato F7\n\n* Presentar Documentos en Original y Copia\n\n\nVEHÍCULO EXTRANJERO\n\n1.- El Propietario deberá presentar el Vehículo Físicamente\n2.- Título de Propiedad y/o Certificado de Propiedad debidamente endosado (Nombre del Propietario\n3.- Tarjeta de Circulación\n4.- Pedimento de Importación y/o Constancia de Inscripción\n5.- Identificación Oficial (Credencial de Elector, Licencia de conducir, pasaporte\n6.- CURP\n7.- RFC en caso de ser persona moral\n8.- Comprobante de pago (voucher y Formato F7\n\n* Presentar Documentos en Original y Copia","Publicado","Trámite","Alta","Informativo",441,7551,"53","Una semana para la revisión vehicular. 2 a 3 días para la entrega de constancia.","No se puede establecer",4,8
1383,"Revalidación de Estudios de tipo Superior","Solicitar el trámite de Revalidación de Estudios realizados en el extranjero de tipo Superior, siempre y cuando sean equiparables con los estudios que existen dentro del Sistema Educativo Nacional y se impartan en el Estado de Hidalgo.","Presentar en original y copia:\n1. Solicitud (proporcionada por la Dirección General de Educación Superior), \n2. Acta de Nacimiento (Debidamente apostillada si se trata de un extranjero),\n3. Certificado de Bachillerato,\n4. Certificado Total ó Parcial de Estudios de nivel superior (Diplomas, Constancias de Títulos o Grados debidamente apostillados, que amparen los estudios de la solicitud),\n5. Plan de Estudios (de la Institución Educativa de procedencia, traducido por perito), \n6. Formato 7 para el pago de contribuciones, productos y aprovechamientos federales, estatales y municipales emitido por la Secretaria de Finanzas y Administración del Gobierno del Estado de Hidalgo.","Publicado","Trámite","Alta","Transaccional",1697,471,"2","15 días hábiles","Permanente",7,9
1489,"Autorización de cambio de titular del Centro de Verificación Vehicular ","Es la factibilidad técnica, legal y administrativa soportada en la legislación ambiental y Lineamientos para el Funcionamiento de la Red Estatal de Centros de Verificación Vehicular  para el año 2025, primer semestre, para la autorización de cambio de titularidad de la Autorización del Centro de Verificación Vehicular.","1.- Solicitud firmada por el Titular o Representante Legal en caso de ser persona moral\n2.- Identificación del que pretenda ser el nuevo Titular, el cual no deberá estar vinculado a la Red Estatal de Centros de Verificación Vehicular o Unidades de Verificación Vehicular o ser Titular.\n3.- Cédula de Identificación Fiscal de la persona física o moral que se pretenda sea el nuevo Titular \n4.- Escrito en el que la persona física o moral se compromete al cumplimiento de todas y cada una de las disposiciones que establecen las Normas Oficiales Mexicanas, Ley para la Protección al Ambiente del Estado de Hidalgo, Lineamientos Normativos y Programa de Verificación Vehicular Obligatorio en original o copia cotejada según corresponda. \n5.- Una vez estudiados técnica y jurídicamente, obteniendo un resultado favorable la Secretaría emitirá la carta de visto bueno a fin de realizar la cesión de derechos correspondiente y sea emitida la resolución y autorización a nombre del nuevo Titular previo pago de derechos.","Publicado","Trámite","Alta","De inicio",13136.97,441,"","60 días","CONSERVA LA VIGENCIA DE LA AUTORIZACIÓN ORIGINAL.",4,5
1520,"Dictaminación técnica de la Cédula de Operación Anual","De conformidad con el artículo 58 de la Ley para la Protección al Ambiente del Estado de Hidalgo, los establecimientos del sector industrial, de servicios, bancos pétreos y productores ladrilleros que hayan obtenido la Licencia Ambiental Estatal, deberán de llevar a cabo de manera anual la actualización de la información de su desempeño ambiental, a través de la presentación de la cédula de operación anual, acompañada de los estudios ambientales y planes y programas de manejo de sus efluentes contaminantes.","TODOS LOS DOCUMENTOS QUE A CONTINUACIÓN SE ENLISTAN DEBERÁN ADJUNTARSE EN FORMATOS: .PDF, .JPG\nCédula de Operación Anual para industria, servicio y bancos pétreos.\n1.- Escrito dirigido al Secretario de Medio Ambiente y Recursos Naturales de Hidalgo en el cual se solicite la evaluación de la Cédula de Operación Anual del año inmediato anterior al que reporta.\n2.- Acreditación de la personalidad jurídica del promovente o representante legal, debidamente cotejada por esta Secretaría.\n3.- Diagrama de flujo de operación del proceso y distribución de equipos.\n4.- Croquis de localización del predio con ubicación geográfica en coordenadas UTM.\n5.- Opinión Técnica de Factibilidad en materia de protección civil u Opinión Técnica de Seguridad en materia de Protección Civil según corresponda, emitida por la Subsecretaría de Protección Civil y Gestión de Riesgos de Gobierno del Estado de Hidalgo.\n6.- Licencia de Funcionamiento emitida por el gobierno municipal.\n7.- Acreditación del abasto del agua para el proceso productivo o servicio y la autorización para la descarga de la misma emitida por la autoridad competente.\n8.- Resultado de los estudios de emisiones a la atmósfera, ruido en fuente fija, descarga de agua residual; según corresponda de conformidad con actividad que se evalúa y llevados a cabo observando los lineamientos de la normatividad ambiental aplicable.\n9.- Regularización en materia de impacto ambiental (Autorregulación, Resolutivo de impacto ambiental, Resolutivo de Informe Preventivo).\n10.- Protesta de decir verdad del contenido de la Cédula de Operación Anual firmada por el promovente y por el responsable técnico.\n11.- Anexo A. Reporte desagregado de consumo de combustibles para la dictaminación de la Cédula de Operación Anual.\n\nCédula de Operación Anual para el sector productor ladrillero.\n1.- Escrito dirigido al Secretario de Medio Ambiente y Recursos Naturales de Hidalgo en el cual se solicite la evaluación de la Cédula de Operación Anual del año inmediato anterior al que reporta.\n2.- Diagrama de funcionamiento del proceso de elaboración de (ladrillo, teja, otros).\n3. Descripción de las operaciones y procesos que se llevan a cabo en el establecimiento, incluyendo las áreas auxiliares. y funcionamiento del horno.\n4.- Acreditación del origen de la materia prima (arcilla, agua, combustible, aserrín, otros).\n5.- Anexo fotográfico en que se observe el proceso proceso productivo, almacenamiento de materias primas, condiciones del horno, y en su caso, operación del dosificador de aserrín.\n6.- Acreditación de la personalidad jurídica del promovente o representante legal. Si se trata de persona física deberá presentar credencial para votar con fotografía; para personas morales deberán presentar acta constitutiva. En todos los casos deberán ser debidamente cotejados por esta Secretaría.\n7.- Croquis de localización del horno con ubicación geográfica en coordenadas UTM.\n\n- Deberá acudir el representante legal físicamente a la ventanilla de atención a usuarios o a las oficinas regionales SEMARNATH Tula para otorgarle su usuario y contraseña.\n\n- Traer consigo el documento legal que acredita su personalidad jurídica (acta constitutiva, poder notarial, en caso de ejidos actas de asamblea, credencial del RAN e INE/IFE) original y copia para cotejo.\n\n- En caso de ser persona física traer credencial de IFE/INE o pasaporte o cedula profesional (original y copia para cotejo).\n\n- Los permisos otorgados por las diferentes dependencias en la región por ejemplo licencias o placa de funcionamiento, permiso de protección civil, permisos autorizados por el sector salud, entre otros deberán ser adjuntados en el apartado de otro documentos.\n\n- En caso de que cuente con autorizaciones expedidas por la Autoridad Ambiental Estatal, deberá tenerlas al alcance a fin de precisar datos que le serán requeridos.\n\n- En caso de cambios en el proceso productivo (instalaciones, equipamiento, tren de proceso, materias primas o producto terminado, capacidad instalada, etcétera) deberá solicitar la modificación de la Licencia Ambiental Estatal en la solicitud del trámite.","Publicado","Trámite","Alta","Informativo",113.14,5400,"","30 días hábiles artículo 56 de la Ley para la Protección al Ambiente del Estado","UN AÑO",7,16
1531,"Expedición de Licencia Ambiental Estatal","De conformidad con el artículo 54, 55, 56, 57 y 58 de la Ley para la Protección al Ambiente del Estado de Hidalgo, el sector industrial, de servicios, bancos pétreos y productor ladrillero para obtener la Licencia Ambiental Estatal, deberán de presentar la información de sus actividades para el proceso productivo que realiza, acompañada de los requisitos estudios, análisis o planes de manejo correspondientes.","Licencia Ambiental Estatal para industria, servicio y banco pétreo\n1. Escrito dirigido al Secretario de Medio Ambiente y Recursos Naturales de Hidalgo en el cual se solicite la expedición de la Licencia Ambiental Estatal.\n2. Acreditación de la personalidad jurídica del promovente o representante legal, debidamente cotejada por esta Secretaría. \n3. Regularización en materia de impacto ambiental (Autorregulación, Resolutivo de impacto ambiental, Resolutivo de Informe Preventivo, según corresponda).\n4. Diagrama de flujo de operación del proceso y distribución de equipos.\n5. Croquis de localización del predio con ubicación geográfica en coordenadas UTM.\n6. Opinión Técnica de Factibilidad en materia de protección civil u Opinión Técnica de Seguridad en materia de Protección Civil según corresponda, emitida por la Subsecretaría de Protección Civil y Gestión de Riesgos de Gobierno del Estado de Hidalgo.\n7. Licencia de Funcionamiento emitida por el gobierno municipal.\n8. Acreditación del abasto del agua para el proceso productivo o servicio y la autorización para la descarga de la misma emitida por la autoridad competente.\n9. Resultado de los estudios de emisiones a la atmósfera, ruido en fuente fija, descarga de agua residual; según corresponda de conformidad con la actividad que se evalúa y llevados a cabo observando los lineamientos de la normatividad ambiental aplicable.\n10. Protesta de decir verdad del contenido del formato de la Licencia Ambiental Estatal firmada por el promovente y por el responsable técnico. \n11.- Programa de control de descargas de aguas residuales, el cual debe cumplir con las Normas Oficiales Mexicanas, normas técnicas ecológicas, lineamientos y demás disposiciones relativas.\n\nLicencia Ambiental Estatal para el sector productor ladrillero:\n1. Escrito dirigido al Secretario de Medio Ambiente y Recursos Naturales de Hidalgo en el cual se solicite la expedición de la Licencia Ambiental Estatal.\n2. Acreditación de la personalidad jurídica del promovente o representante legal, debidamente cotejada por esta Secretaría.\n3. Diagrama de funcionamiento del proceso de elaboración de (ladrillo, teja, otros).\n4. Descripción de la operación y funcionamiento del horno.\n5. Acreditación del origen de la materia prima (arcilla, agua, combustible, aserrín, otros).\n6. Croquis de localización del predio con ubicación geográfica en coordenadas UTM.\n7. Anexo fotográfico.","Publicado","Trámite","Alta","Informativo",113.14,5131,"10","De 30 días hábiles ","PERMANENTE SUJETO A ACTUALIZACIÓN A TRAVÉS DE LA CÉDULA DE OPERACIÓN ANUAL.",10,21
1532,"Bitácora de Operación de Equipos y Procesos Generadores de Emisiones a la Atmósfera","De conformidad con el artículo 132 fracción VII de la Ley para la Protección al Ambiente del Estado de Hidalgo, los sectores de jurisdicción estatal,  que por su operación y funcionamiento emitan o puedan emitir ruidos que rebasen los límites máximos permisibles, olores, gases o partículas sólidas o líquidas a la atmósfera, deberán contar con una bitácora de operación y mantenimiento de sus equipos de combustión, proceso y control, a fin de que cuenten con una herramienta de verificación que permita conocer el porcentaje de eficiencia de actividades y equipos.","Autorización de Bitácora de control para la elaboración de piezas fabricadas con arcilla (Sector productor ladrillero) y Bitácora de operación para la explotación de banco de materiales pétreos.\n1. Solicitud para obtener la Autorización de control para la elaboración de piezas fabricadas con arcilla (Sector productor ladrillero) y Bitácora de operación para la explotación de banco de materiales pétreos, dirigida al Secretario de Medio Ambiente y Recursos Naturales de Hidalgo.\n2. Acreditación de la personalidad jurídica del promovente o representante legal, debidamente cotejada por esta Secretaría. Para más información de clic aquí.\n3. Diagrama de bloque o flujo. \n\nAutorización de Bitácora de operación, mantenimiento y control de emisiones de equipos de combustión y Bitácora de operación y mantenimiento de equipos para control de emisiones.\n1. Solicitud para obtener la Autorización de bitácoras de operación y mantenimiento de equipos de combustión, proceso y control, dirigida al Secretario de Medio Ambiente y Recursos Naturales de Hidalgo.\n2. Acreditación de la personalidad jurídica del promovente o representante legal, debidamente cotejada por esta Secretaría. Para más información de clic aquí.\n3. Archivo fotográfico del equipo de que se trate, donde sea visible placa metálica de identificación.\n4. Ficha técnica del equipo (marca, modelo, capacidad y tipo de combustible).\n\n","Publicado","Trámite","Alta","Informativo",113.14,1756,"5","De 15 días hábiles.","SIN VIGENCIA ",8,9
1555,"Constancias de calificaciones, reportes de evaluación y certificación de educación básica","Otorgar el documento que valida los estudios parciales o totales de una persona en la Educación Básica.","1. Llenar formato de solicitud, \n2. Copia del certificado o boleta,\n3. Copia de acta de nacimiento,\n4. Copia de la CURP,\n5. Pago de derechos.","Publicado","Trámite","Alta","Transaccional",36,7624,"416","4 días hábiles","Permanente",4,5
1560,"Preinscripciones de Educación Básica","Preinscripción de alumnas y alumnos que ingresan a Preescolar, Primaria y Secundaria en Escuelas Públicas.","1. Acta de nacimiento, \n2. Identificación oficial vigente, \n3. Comprobante de domicilio. \n\nNota: Los documentos mencionados se escanean y se suben a la plataforma en línea.","Publicado","Trámite","Alta","Transaccional",0,24840,"10833","100 días hábiles","Ciclo escolar",6,3
1580,"Solicitud de Fichas de Ingreso UPE","Realizar la selección de personas que desean ingresar a la Universidad Politécnica de la Energía  a través  del registro de ficha y pago.","Todos los documentos se  envían atreves de correo electrónico\n1.-Recibo de pago de ficha cuota  de recuperación\n2.- Llenado de solicitud de ficha\n3.- Acta de nacimiento\n4.- Certificado de estudios/constancia de terminación de estudios.\n5.- CURP\n6.- Comprobante de domicilio\n7.- 4 fotografías tamaño infantil a color \n8.- Registro en línea del centro evaluador para generar folio. (Ceneval/Exbach)\n9-. Ser entrevistado (en el área de psicopedagogía y médica)","Publicado","Trámite","Alta","De inicio",1333,370,"30","2 días 10 minutos","De acuerdo a convocatoria",3,7
1583,"Inscripción UPE","Realizar el proceso de inscripción de la población estudiantil a primer cuatrimestre, una vez que han aprobado las  etapas de selección de ingreso a algún programa educativo que han elegido.","1.- Recibo de pago\n2.- Llenar el formato de inscripción (datos personales)\n3.- Original de certificado de bachillerato\n4.- Original de acta de nacimiento\n5.- Copia de CURP\n6.- Comprobante de domicilio vigente\n7.- Copia de identificación oficial vigente","Publicado","Trámite","Alta","De inicio",1825,309,"130 cuatrimestral","30 minutos","4 meses",3,8
1584,"Reinscripción UPE","Realizar el proceso de reinscripción de la población estudiantil correspondiente para continuar como parte de la matrícula de la Institución.","1.- Recibo de pago de re inscripción \n2.- Llenar formato de re inscripción (Actualización de datos personales)","Publicado","Trámite","Alta","Transaccional",1825,333,"316 cuatrimestral","30 min","4 meses",3,2
